129 => 129, x = 0, y = 0, z = 2, xx = 1, yy = 0, zz = 2
130 => 130, x = 0, y = 0, z = 2, xx = 2, yy = 0, zz = 2
131 => 131, x = 0, y = 0, z = 2, xx = 3, yy = 0, zz = 2
136 => 132, x = 0, y = 0, z = 2, xx = 0, yy = 1, zz = 2
137 => 133, x = 0, y = 0, z = 2, xx = 1, yy = 1, zz = 2
138 => 134, x = 0, y = 0, z = 2, xx = 2, yy = 1, zz = 2
139 => 135, x = 0, y = 0, z = 2, xx = 3, yy = 1, zz = 2
144 => 136, x = 0, y = 0, z = 2, xx = 0, yy = 2, zz = 2
145 => 137, x = 0, y = 0, z = 2, xx = 1, yy = 2, zz = 2
146 => 138, x = 0, y = 0, z = 2, xx = 2, yy = 2, zz = 2
147 => 139, x = 0, y = 0, z = 2, xx = 3, yy = 2, zz = 2
152 => 140, x = 0, y = 0, z = 2, xx = 0, yy = 3, zz = 2
153 => 141, x = 0, y = 0, z = 2, xx = 1, yy = 3, zz = 2
154 => 142, x = 0, y = 0, z = 2, xx = 2, yy = 3, zz = 2
155 => 143, x = 0, y = 0, z = 2, xx = 3, yy = 3, zz = 2
132 => 144, x = 4, y = 0, z = 2, xx = 4, yy = 0, zz = 2
133 => 145, x = 4, y = 0, z = 2, xx = 5, yy = 0, zz = 2
134 => 146, x = 4, y = 0, z = 2, xx = 6, yy = 0, zz = 2
135 => 147, x = 4, y = 0, z = 2, xx = 7, yy = 0, zz = 2
140 => 148, x = 4, y = 0, z = 2, xx = 4, yy = 1, zz = 2
141 => 149, x = 4, y = 0, z = 2, xx = 5, yy = 1, zz = 2
142 => 150, x = 4, y = 0, z = 2, xx = 6, yy = 1, zz = 2
143 => 151, x = 4, y = 0, z = 2, xx = 7, yy = 1, zz = 2
148 => 152, x = 4, y = 0, z = 2, xx = 4, yy = 2, zz = 2
149 => 153, x = 4, y = 0, z = 2, xx = 5, yy = 2, zz = 2
150 => 154, x = 4, y = 0, z = 2, xx = 6, yy = 2, zz = 2
151 => 155, x = 4, y = 0, z = 2, xx = 7, yy = 2, zz = 2
156 => 156, x = 4, y = 0, z = 2, xx = 4, yy = 3, zz = 2
157 => 157, x = 4, y = 0, z = 2, xx = 5, yy = 3, zz = 2
158 => 158, x = 4, y = 0, z = 2, xx = 6, yy = 3, zz = 2
159 => 159, x = 4, y = 0, z = 2, xx = 7, yy = 3, zz = 2
160 => 160, x = 0, y = 4, z = 2, xx = 0, yy = 4, zz = 2
161 => 161, x = 0, y = 4, z = 2, xx = 1, yy = 4, zz = 2
162 => 162, x = 0, y = 4, z = 2, xx = 2, yy = 4, zz = 2
163 => 163, x = 0, y = 4, z = 2, xx = 3, yy = 4, zz = 2
168 => 164, x = 0, y = 4, z = 2, xx = 0, yy = 5, zz = 2
169 => 165, x = 0, y = 4, z = 2, xx = 1, yy = 5, zz = 2
170 => 166, x = 0, y = 4, z = 2, xx = 2, yy = 5, zz = 2
171 => 167, x = 0, y = 4, z = 2, xx = 3, yy = 5, zz = 2
176 => 168, x = 0, y = 4, z = 2, xx = 0, yy = 6, zz = 2
177 => 169, x = 0, y = 4, z = 2, xx = 1, yy = 6, zz = 2
178 => 170, x = 0, y = 4, z = 2, xx = 2, yy = 6, zz = 2
179 => 171, x = 0, y = 4, z = 2, xx = 3, yy = 6, zz = 2
184 => 172, x = 0, y = 4, z = 2, xx = 0, yy = 7, zz = 2
185 => 173, x = 0, y = 4, z = 2, xx = 1, yy = 7, zz = 2
186 => 174, x = 0, y = 4, z = 2, xx = 2, yy = 7, zz = 2
187 => 175, x = 0, y = 4, z = 2, xx = 3, yy = 7, zz = 2
164 => 176, x = 4, y = 4, z = 2, xx = 4, yy = 4, zz = 2
165 => 177, x = 4, y = 4, z = 2, xx = 5, yy = 4, zz = 2
166 => 178, x = 4, y = 4, z = 2, xx = 6, yy = 4, zz = 2
167 => 179, x = 4, y = 4, z = 2, xx = 7, yy = 4, zz = 2
172 => 180, x = 4, y = 4, z = 2, xx = 4, yy = 5, zz = 2
173 => 181, x = 4, y = 4, z = 2, xx = 5, yy = 5, zz = 2
174 => 182, x = 4, y = 4, z = 2, xx = 6, yy = 5, zz = 2
175 => 183, x = 4, y = 4, z = 2, xx = 7, yy = 5, zz = 2
180 => 184, x = 4, y = 4, z = 2, xx = 4, yy = 6, zz = 2
181 => 185, x = 4, y = 4, z = 2, xx = 5, yy = 6, zz = 2
182 => 186, x = 4, y = 4, z = 2, xx = 6, yy = 6, zz = 2
183 => 187, x = 4, y = 4, z = 2, xx = 7, yy = 6, zz = 2
188 => 188, x = 4, y = 4, z = 2, xx = 4, yy = 7, zz = 2
189 => 189, x = 4, y = 4, z = 2, xx = 5, yy = 7, zz = 2
190 => 190, x = 4, y = 4, z = 2, xx = 6, yy = 7, zz = 2
191 => 191, x = 4, y = 4, z = 2, xx = 7, yy = 7, zz = 2
192 => 192, x = 0, y = 0, z = 3, xx = 0, yy = 0, zz = 3
193 => 193, x = 0, y = 0, z = 3, xx = 1, yy = 0, zz = 3
194 => 194, x = 0, y = 0, z = 3, xx = 2, yy = 0, zz = 3
195 => 195, x = 0, y = 0, z = 3, xx = 3, yy = 0, zz = 3
200 => 196, x = 0, y = 0, z = 3, xx = 0, yy = 1, zz = 3
201 => 197, x = 0, y = 0, z = 3, xx = 1, yy = 1, zz = 3
202 => 198, x = 0, y = 0, z = 3, xx = 2, yy = 1, zz = 3
203 => 199, x = 0, y = 0, z = 3, xx = 3, yy = 1, zz = 3
208 => 200, x = 0, y = 0, z = 3, xx = 0, yy = 2, zz = 3
209 => 201, x = 0, y = 0, z = 3, xx = 1, yy = 2, zz = 3
210 => 202, x = 0, y = 0, z = 3, xx = 2, yy = 2, zz = 3
211 => 203, x = 0, y = 0, z = 3, xx = 3, yy = 2, zz = 3
216 => 204, x = 0, y = 0, z = 3, xx = 0, yy = 3, zz = 3
217 => 205, x = 0, y = 0, z = 3, xx = 1, yy = 3, zz = 3
218 => 206, x = 0, y = 0, z = 3, xx = 2, yy = 3, zz = 3
219 => 207, x = 0, y = 0, z = 3, xx = 3, yy = 3, zz = 3
196 => 208, x = 4, y = 0, z = 3, xx = 4, yy = 0, zz = 3
197 => 209, x = 4, y = 0, z = 3, xx = 5, yy = 0, zz = 3
198 => 210, x = 4, y = 0, z = 3, xx = 6, yy = 0, zz = 3
199 => 211, x = 4, y = 0, z = 3, xx = 7, yy = 0, zz = 3
204 => 212, x = 4, y = 0, z = 3, xx = 4, yy = 1, zz = 3
205 => 213, x = 4, y = 0, z = 3, xx = 5, yy = 1, zz = 3
206 => 214, x = 4, y = 0, z = 3, xx = 6, yy = 1, zz = 3
207 => 215, x = 4, y = 0, z = 3, xx = 7, yy = 1, zz = 3
212 => 216, x = 4, y = 0, z = 3, xx = 4, yy = 2, zz = 3
213 => 217, x = 4, y = 0, z = 3, xx = 5, yy = 2, zz = 3
214 => 218, x = 4, y = 0, z = 3, xx = 6, yy = 2, zz = 3
215 => 219, x = 4, y = 0, z = 3, xx = 7, yy = 2, zz = 3
220 => 220, x = 4, y = 0, z = 3, xx = 4, yy = 3, zz = 3
221 => 221, x = 4, y = 0, z = 3, xx = 5, yy = 3, zz = 3
222 => 222, x = 4, y = 0, z = 3, xx = 6, yy = 3, zz = 3
223 => 223, x = 4, y = 0, z = 3, xx = 7, yy = 3, zz = 3
224 => 224, x = 0, y = 4, z = 3, xx = 0, yy = 4, zz = 3
225 => 225, x = 0, y = 4, z = 3, xx = 1, yy = 4, zz = 3
226 => 226, x = 0, y = 4, z = 3, xx = 2, yy = 4, zz = 3
227 => 227, x = 0, y = 4, z = 3, xx = 3, yy = 4, zz = 3
232 => 228, x = 0, y = 4, z = 3, xx = 0, yy = 5, zz = 3
233 => 229, x = 0, y = 4, z = 3, xx = 1, yy = 5, zz = 3
234 => 230, x = 0, y = 4, z = 3, xx = 2, yy = 5, zz = 3
235 => 231, x = 0, y = 4, z = 3, xx = 3, yy = 5, zz = 3
240 => 232, x = 0, y = 4, z = 3, xx = 0, yy = 6, zz = 3
241 => 233, x = 0, y = 4, z = 3, xx = 1, yy = 6, zz = 3
242 => 234, x = 0, y = 4, z = 3, xx = 2, yy = 6, zz = 3
243 => 235, x = 0, y = 4, z = 3, xx = 3, yy = 6, zz = 3
248 => 236, x = 0, y = 4, z = 3, xx = 0, yy = 7, zz = 3
249 => 237, x = 0, y = 4, z = 3, xx = 1, yy = 7, zz = 3
250 => 238, x = 0, y = 4, z = 3, xx = 2, yy = 7, zz = 3
251 => 239, x = 0, y = 4, z = 3, xx = 3, yy = 7, zz = 3
228 => 240, x = 4, y = 4, z = 3, xx = 4, yy = 4, zz = 3
229 => 241, x = 4, y = 4, z = 3, xx = 5, yy = 4, zz = 3
230 => 242, x = 4, y = 4, z = 3, xx = 6, yy = 4, zz = 3
231 => 243, x = 4, y = 4, z = 3, xx = 7, yy = 4, zz = 3
236 => 244, x = 4, y = 4, z = 3, xx = 4, yy = 5, zz = 3
237 => 245, x = 4, y = 4, z = 3, xx = 5, yy = 5, zz = 3
238 => 246, x = 4, y = 4, z = 3, xx = 6, yy = 5, zz = 3
239 => 247, x = 4, y = 4, z = 3, xx = 7, yy = 5, zz = 3
244 => 248, x = 4, y = 4, z = 3, xx = 4, yy = 6, zz = 3
245 => 249, x = 4, y = 4, z = 3, xx = 5, yy = 6, zz = 3
246 => 250, x = 4, y = 4, z = 3, xx = 6, yy = 6, zz = 3
247 => 251, x = 4, y = 4, z = 3, xx = 7, yy = 6, zz = 3
252 => 252, x = 4, y = 4, z = 3, xx = 4, yy = 7, zz = 3
253 => 253, x = 4, y = 4, z = 3, xx = 5, yy = 7, zz = 3
254 => 254, x = 4, y = 4, z = 3, xx = 6, yy = 7, zz = 3
255 => 255, x = 4, y = 4, z = 3, xx = 7, yy = 7, zz = 3
256 => 256, x = 0, y = 0, z = 4, xx = 0, yy = 0, zz = 4
257 => 257, x = 0, y = 0, z = 4, xx = 1, yy = 0, zz = 4
258 => 258, x = 0, y = 0, z = 4, xx = 2, yy = 0, zz = 4
259 => 259, x = 0, y = 0, z = 4, xx = 3, yy = 0, zz = 4
264 => 260, x = 0, y = 0, z = 4, xx = 0, yy = 1, zz = 4
265 => 261, x = 0, y = 0, z = 4, xx = 1, yy = 1, zz = 4
266 => 262, x = 0, y = 0, z = 4, xx = 2, yy = 1, zz = 4
267 => 263, x = 0, y = 0, z = 4, xx = 3, yy = 1, zz = 4
272 => 264, x = 0, y = 0, z = 4, xx = 0, yy = 2, zz = 4
273 => 265, x = 0, y = 0, z = 4, xx = 1, yy = 2, zz = 4
274 => 266, x = 0, y = 0, z = 4, xx = 2, yy = 2, zz = 4
275 => 267, x = 0, y = 0, z = 4, xx = 3, yy = 2, zz = 4
280 => 268, x = 0, y = 0, z = 4, xx = 0, yy = 3, zz = 4
281 => 269, x = 0, y = 0, z = 4, xx = 1, yy = 3, zz = 4
282 => 270, x = 0, y = 0, z = 4, xx = 2, yy = 3, zz = 4
283 => 271, x = 0, y = 0, z = 4, xx = 3, yy = 3, zz = 4
260 => 272, x = 4, y = 0, z = 4, xx = 4, yy = 0, zz = 4
261 => 273, x = 4, y = 0, z = 4, xx = 5, yy = 0, zz = 4
262 => 274, x = 4, y = 0, z = 4, xx = 6, yy = 0, zz = 4
263 => 275, x = 4, y = 0, z = 4, xx = 7, yy = 0, zz = 4
268 => 276, x = 4, y = 0, z = 4, xx = 4, yy = 1, zz = 4
269 => 277, x = 4, y = 0, z = 4, xx = 5, yy = 1, zz = 4
270 => 278, x = 4, y = 0, z = 4, xx = 6, yy = 1, zz = 4
271 => 279, x = 4, y = 0, z = 4, xx = 7, yy = 1, zz = 4
276 => 280, x = 4, y = 0, z = 4, xx = 4, yy = 2, zz = 4
277 => 281, x = 4, y = 0, z = 4, xx = 5, yy = 2, zz = 4
278 => 282, x = 4, y = 0, z = 4, xx = 6, yy = 2, zz = 4
279 => 283, x = 4, y = 0, z = 4, xx = 7, yy = 2, zz = 4
284 => 284, x = 4, y = 0, z = 4, xx = 4, yy = 3, zz = 4
285 => 285, x = 4, y = 0, z = 4, xx = 5, yy = 3, zz = 4
286 => 286, x = 4, y = 0, z = 4, xx = 6, yy = 3, zz = 4
287 => 287, x = 4, y = 0, z = 4, xx = 7, yy = 3, zz = 4
288 => 288, x = 0, y = 4, z = 4, xx = 0, yy = 4, zz = 4
289 => 289, x = 0, y = 4, z = 4, xx = 1, yy = 4, zz = 4
290 => 290, x = 0, y = 4, z = 4, xx = 2, yy = 4, zz = 4
291 => 291, x = 0, y = 4, z = 4, xx = 3, yy = 4, zz = 4
296 => 292, x = 0, y = 4, z = 4, xx = 0, yy = 5, zz = 4
297 => 293, x = 0, y = 4, z = 4, xx = 1, yy = 5, zz = 4
298 => 294, x = 0, y = 4, z = 4, xx = 2, yy = 5, zz = 4
